"","anterior_reticular_formation_LEFT","anterior_reticular_formation_RIGHT","caudal_hypothalamus_LEFT","caudal_hypothalamus_RIGHT","cerebellum_LEFT","cerebellum_RIGHT","glossopharyngeal_ganglion_LEFT","glossopharyngeal_ganglion_RIGHT","habenula_LEFT","habenula_RIGHT","inferior_olive_LEFT","inferior_olive_RIGHT","intermediate_hypothalamus_LEFT","intermediate_hypothalamus_RIGHT","intermediate_reticular_formation_LEFT","intermediate_reticular_formation_RIGHT","interpeduncular_nucleus_LEFT","interpeduncular_nucleus_RIGHT","medial_octavolateral_nucleus_LEFT","medial_octavolateral_nucleus_RIGHT","MO_stripe_1_LEFT","MO_stripe_1_RIGHT","MO_stripe_2_LEFT","MO_stripe_2_RIGHT","MO_stripe_3_LEFT","MO_stripe_3_RIGHT","MO_stripe_4_LEFT","MO_stripe_4_RIGHT","MO_stripe_5_LEFT","MO_stripe_5_RIGHT","octaval_ganglion_LEFT","octaval_ganglion_RIGHT","olfactory_bulb_LEFT","olfactory_bulb_RIGHT","olfactory_epithelium_LEFT","olfactory_epithelium_RIGHT","pallium_LEFT","pallium_RIGHT","pituitary_LEFT","pituitary_RIGHT","posterior_reticular_formation_LEFT","posterior_reticular_formation_RIGHT","posterior_teberculum_LEFT","posterior_teberculum_RIGHT","preoptic_region_LEFT","preoptic_region_RIGHT","pretectum_LEFT","pretectum_RIGHT","raphe_nucleus_LEFT","raphe_nucleus_RIGHT","retina_LEFT","retina_RIGHT","rostral_hypothalamus_LEFT","rostral_hypothalamus_RIGHT","subpallium_LEFT","subpallium_RIGHT","tectum_LEFT","tectum_RIGHT","tegmentum_LEFT","tegmentum_RIGHT","thalamus_LEFT","thalamus_RIGHT","torus_longitudinalis_LEFT","torus_longitudinalis_RIGHT","torus_semicircularis_LEFT","torus_semicircularis_RIGHT","trigeminal_ganglion_LEFT","trigeminal_ganglion_RIGHT","vagal_region_LEFT","vagal_region_RIGHT","vagus_motor_neurons_LEFT","vagus_motor_neurons_RIGHT"
"olfactory_epithelium_LEFT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106893690811651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000782073826814684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"olfactory_epithelium_RIGHT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00998413489868999,0,0,0,0.000156449588187735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000780315436934744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pallium_LEFT",0.00786335885048429,0.00883392686528272,0.0016078403008824,0.000824559861733603,0.000222260396581647,0,0,0,0.00951569765937071,0.00820878624825815,0,0,0.0277201066839856,0.019588723174439,0.00106042416325825,0.000349894980806837,0.00244658802376295,0.00252361468602788,0,0,0.000596024251404442,0.00176508546380663,0,0,0,0,0,0,0.000249709357717199,0.000362922221196061,0,0,0.0366093765901743,0.013061416913223,0,0,0,0.0408641327366186,0,0,0.000768346434862381,0.00045433135175857,0.0141190257488487,0.0158698814321498,0.0287921927799238,0.0147784919132126,0,0,0.00511593680781981,0.00571010623253499,0,0,0.010107666655398,0.00678665001776122,0.0839620307464301,0.0474779764015491,0,0,0.00244565492004005,0.00152174357448842,0.00951761190822287,0.00782091718406669,0,0,0.00144866435261429,0.000957376620997751,0,0,0,0,0,0
"pallium_RIGHT",0.00655393558374271,0.00817489633566508,0.000921153176590364,0.00172256396643854,0.00013357326281419,0.000137844004093546,0,0,0.00729686903459153,0.00845471427726918,0,0,0.0184322818311995,0.0258969118857933,0.000353436878798543,0.00094921854779302,0.00291264388435435,0.00188556027656764,0,0,0.00135206182257691,0.000615768590061412,0,0,0,0.000151871704362226,0,0,0.000321000647668394,0.000216233160566029,0,0,0.012800548496045,0.0337597431154544,0,0.000156449588187735,0.0408641327366186,0,0,0,7.21704482217656e-05,0.00074051215017021,0.0109628635170085,0.0197322097794443,0.0120541506765104,0.0291146834027339,0,0,0.00573042138316886,0.00474602404802917,0,0,0.00581308155975752,0.0106090538037334,0.0431371620553225,0.0805065446117276,0,0,0.00158623057906368,0.00178898025212902,0.00750712301340489,0.00896695667204425,0,0,0.000987549232947545,0.00128981419274536,0,0,0,0,0,0
"pituitary_LEFT",0.000899769776185713,0,0,0,0,0,0,0,0,0,0,0,0.000701011568373873,0.00273162907842425,0,0,0.00538950051804202,0.00329177464746898,0,0,0.000622595719765578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036867559315387,0,0,0.000915756684194152,0.000788641999319298,0.0036225394836625,0.00424836849895565,0,0,0.00371561891195509,0.00285068662504681,0,0,0.00602128704621403,0.00507472325107596,0,0,0,0,0,0,0,0.000123221721698478,0,0,0,0,0,0,0,0,0,0
"pituitary_RIGHT",0,0.0009476754771189,0,0,0,0,0,0,0,0,0,0,0.0030010291982123,0.000651190016631732,0,0,0.00333811036536333,0.0054379078748087,0,0,0,0.000669976130454374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036867559315387,0,0,0,0.000622133084453623,0.000774536473620159,0.00430228139462291,0.00328956927698087,0,0,0.0028628214266133,0.00358131998433317,0,0,0.00370026609801885,0.00691632715662682,0,0,0,0,0,0,0,0.000247486405222892,0,0,0,0,0,0,0,0,0,0
"posterior_reticular_formation_LEFT",0.246068031636838,0.0653384773598095,0.00395131912659575,0,0.0136333678119147,0.0192645961122168,0,0,0.000493447261164089,0,0.0177414526166817,0.00135968389031952,0.0414069805132048,0.0154396982013505,0.232595036258487,0.0819813497958387,0.0186994203706021,0.0037193489256574,0.0303720604005031,0.0317342256646166,0.0589316212524909,0.0248486931520351,0.00403213512186899,0.00276916101731508,0.0477981230802164,0.0478197079958982,0.0396443461020068,0.0134104042589309,0.0436991345159259,0.0402093270354274,0.0068664440154887,0.00201600964683848,0,0,0,0,0.000768346434862381,7.21704482217656e-05,0,0,0,0.113219806953437,0.00922075800541843,0.00208748494714776,0.00252641987651722,0.00101227919676247,0.0227425059241153,0.00530382278638815,0.119835769206726,0.0747568237997315,0,0,0.000768453200275292,0.0003066009675812,0.00122860482206228,6.37169960252776e-05,0.00357700160505912,0.00113543432590838,0.0624293170484321,0.0334075637974082,0.0495995237844466,0.0166902427174417,0,0,0.0422674164244416,0.0185035159210403,0.000566255885959362,0,0.000772184300341297,0.00559718985691587,0.00435470060463044,0.00197294909313684
"posterior_reticular_formation_RIGHT",0.0652302588124404,0.247768717772308,0,0.00403821501686894,0.0205181085372828,0.0112793514509779,0,0.000149379548744097,0,0.000614227483500085,0.00268349303051632,0.0107875894988067,0.0160379344501024,0.0396656404575507,0.0778007993670194,0.232529487977225,0.00306709655163263,0.0140865420312914,0.0345592277411035,0.0282079395288132,0.0253747707362873,0.0632160253013051,0.00392488279644741,0.00415694314447662,0.0441803141936612,0.0558843185919913,0.0205866380669989,0.0281322771717598,0.0423682638220385,0.0426259379052772,0.00126065047169093,0.00746352316432515,0,0,0,0,0.00045433135175857,0.00074051215017021,0,0,0.113219806953437,0,0.00129293179555487,0.011619967183452,0.000995371800164929,0.00284908206939183,0.00596387084845263,0.0216853174722054,0.078316156248342,0.117661988777978,0,0,0,0.00112759001803269,7.70878492471775e-05,0.00116262033549647,0.00120253726347931,0.00413798364051313,0.0342546123720803,0.0625350013304545,0.016961957520217,0.0508933619258188,0,0,0.0180753523590788,0.0396946039366645,0,0.000804703018395371,0.00413809101433988,0.000956774948864979,0.00206577830188679,0.00380197747838375
"posterior_teberculum_LEFT",0.0235969460404513,0.00695421456550587,0.00271315806079659,0.0022584536509971,0.000210926844332357,0.00180506252843412,0,0,0.000558899254355168,0.000608173542514042,0,0,0.0206276369034792,0.00905431928851434,0.00943206463355805,0.000699483418158833,0.00533682396775137,0.00223337332495414,0,0,0.00235478968822177,0.00189551686510399,0,0,0.00192855274001007,0.001297640543808,0,0.0018020097112973,0,0.00068575875805672,0.00102860547588902,0,0.00357865499275135,0.00222268303689039,0,0,0.0141190257488487,0.0109628635170085,0.000915756684194152,0.000622133084453623,0.00922075800541843,0.00129293179555487,0,0.00987991501809602,0.014298316886747,0.00799257517584049,0.00481209759377223,0.00201160278792984,0.0198496277046951,0.00458474540145363,0.000503589795308513,0,0.00427804016913837,0.00378044603440402,0.0277266096721619,0.0213358981947322,0.000242412036474594,0.000128397532580265,0.0123613851502453,0.00168067171485744,0.0197005325865292,0.00344250857303368,0,0,0.00402788469509812,0.00139511927448191,0,0,0,0,0,0
"posterior_teberculum_RIGHT",0.0099640800847631,0.031014569429186,0.00265270863291186,0.00562214716085448,0.00191930846118922,0,0,0,0.0013585774049202,0.00138938845228417,0,0,0.0156313711708546,0.0290410740803342,0.00175067805751178,0.0119988288445606,0.00614226298514355,0.00789981643129598,0,0,0.00349324259561008,0.0038044797376821,0,0,0.00133087105081893,0.00295990267063096,0.00204669898465925,0,0.000890751375604395,0,0,0.000963471646285095,0.00349114416686432,0.00478976260694367,0,0,0.0158698814321498,0.0197322097794443,0.000788641999319298,0.000774536473620159,0.00208748494714776,0.011619967183452,0.00987991501809602,0,0.00967878154876465,0.01913228358189,0.00191162557489189,0.00723358434346069,0.0128159827538666,0.0238173984478347,0,0.000405884813117256,0.00384811746573457,0.00646230700377901,0.026495394771556,0.0366700617537467,0.000120343609904656,0.00025807291480398,0.0021894450263593,0.0138491746070345,0.0043916540217526,0.0224222071158521,0,0,0.00183527929214415,0.00372936726518605,0,0,0,0,0,0
